Timestamp,aa,bb,cc,dd,What was something new you learned from this presentation that you didn't know before?,What worked well for the presentation/presenter?,Suggestions for improvement. What are some changes would you advise the presenter to make their presentation more effective?,Additional comments for the speaker
10/30/2019 15:10,5,5,5,3,"I have given white board interviews before and I've always had difficulty communicating my process. Alex gave a tip that we should plan the problem before we actually start solving it, I will adhere to that in my next interview.","Because most of the students in the class are always looking forward to getting an internship or a job, Alex prepared them for the interviews regarding those positions and showed them resources that would help them pass. ","I would suggest Alex to have more data on each of the slides instead of verbally stating everything. I would've loved to see him solve a problem as an example for the rest of us, to see how we should solve it the next time. ",
10/30/2019 15:10,4,3,5,5,This presentation taught me how to be a better programmer. I learned that we have to get out of our comfort zone when it comes to programming. I learned that we have to program more and do many kinds of projects in order to be better at programming. The presenter talked about tomato planner which is known as the pomodoro Technique. We should keep practicing programming because the more we practice the better we get. The fifth tip described the usage of comments and how useful comments are and it will help us understand the code better.,The presenter used PowerPoint which was very good because I like visual presentations. The presenter used examples of code which helped with the visual aid. The presenter also gave us an example of good sources for us to learn how to program better such as GeeksforGeeks. ,Some changes that the presenter can do would be the make the code pictures larger because the people in the back may not be able to see the code as clear. I also think he should try to go more in depth with the tips because he just gave simple tips when it comes to being a better programmer. ,
10/30/2019 15:10,1,1,1,2,I learned how to become a better programmer. It was useful that he gave tips on how to become a better programmer. He mentioned the tomato technique where 25 minutes is used to better understand the question. ,"I liked how he gave examples and used slides to better explain what he was talking about. Despite this, it was still very hard to keep up and understand what he was talking about. I explained it more in depth below. ",It was very hard to hear him. There was at times where I had no clue what he was talking about. He was also going too fast for me to keep up and process what he was talking about. His presentation did not seem to be too organized and looked like it was put together last minute.,
10/30/2019 15:10,5,4,4,3,"I learn new techniques like the pomodoro technique and general tips on how to become a better programmer. Learning different languages is good, however alex recommends learning one to advance level and then branching out.  He gave out some recommendations on practicing coding like hackerrank and geek for geeks. ",He used memes to get the audiences attention. He talks from his personal experience which makes his presentation easier to understand from a programming point of view. His topic is very easy to connect with because we are all programmers.   ,Maybe have some more tips or talking from past projects would be great. He went very fast and it wouuldve been nice for him to slow down and break down more. Maybe be more flexible and point out stuff. ,
10/30/2019 15:11,4,3,4,5,"It's important for a programmer to go out of his comfort zone. In order to figure out an answer you have to know the question very well so you understand what you are answering. Break apart your problem into question, quesdocode, and code.",The presenter did include an entertaining presentation that wasn't just a speech but featured some pictures and jokes and tried to demonstrate his way of programming which makes a lot of sense for efficiency and break time.,Perhaps a more interactive presentation would benefit the main idea of becoming a better programmer. Perhaps also look at the audience more and not include as many joke pictures. Maybe do an example of a coding challenge to see.,
10/30/2019 15:11,5,5,5,5,"He suggests we study one language as the main focus instead of studying multiple languages and not knowing even one language well. Get out of your comfort zone and do something practical with the language to gain experience. You should also plan before you program instead of just jumping into programming. First try to understand the problem, then do pseudo-code, then actually writing the code. By doing this, you make it easier and more efficient. The more you practice the better you'll be at the language. Gives websites to help practice, HackerRank, GeekforGeeks, and leetcode. You should also write comments to explain what the code is doing so you and other people understand what's going on. ","The presenter was able to properly lay out his advice into a list of separate steps. For example, first was learn one language, then gain experience with that language, then plan ahead, etc. By doing this we can take in each tip and understand his points.","Maybe try to provide more information on the slides themselves, as many of the slides contained minimal information for the topic. Sometimes we need better examples to fully understand what he was trying to explain. ",
10/30/2019 15:11,4,3,5,2,"I was already very familiar with many of the programming tips in the presentation. The advice was fairly generic and easy to find on platforms such as YouTube, but useful anyway. I realized that my fairly narrow focus in terms of languages and technologies right now is perfectly fine. ","The presenter was not afraid to use humor to make the presentation more personal, because the topic should relate to programmers on a personal level. He also seemed interested in his topic and the information was relevant to his life.","The presenter should probably look for tips that are more counter intuitive or well researched. He could have studied and mentioned different learning techniques that are supported by studies, not just the pomodoro method. ",
10/30/2019 15:12,3,3,4,3,"The ""pomodoro"" technique for learning programming, how to divide your time in order to best learn how to be a better programmer. How to focus on just learning one programming language thoroughly and spend time not only writing code but reading code, writing pseudocode, writing comments, and learning command line commands as well. ","He was very thorough in his description, his presentation was well organized and he was passionate about the topic at hand. I liked that he not only introduced concepts but explained them as well. I also liked how he broke for audience questions at the end.","He brushed through some topics faster than others, like the discussion of the ""pomodoro"" technique was more in depth than his discussion of the use of command line which was far more brief. It would be nice if he focused the same amount of time and effort evenly throughout the presentation.",
10/30/2019 15:12,3,2,3,2,I honestly didn't really learn anything from this presentation. The topic was simple and most of us already knew what he talked about. I also could barely understand and hear what he was saying half the time.,"Something that worked well for the presentation was that the presenter wasn't reading from the slides. A lot of the time, presentations have all the information on the slides and the presenter just reads from it. It is better to not write that much on the slides and talk from knowledge rather than reading straight from the slides.","Speak louder. I could barely hear the presenter from the back of the room and I didn't really get what he was trying to present. The presentation was also a bit short and the topic was too simple. A lot of what he talked about, a lot of us already knew.",
10/30/2019 15:12,5,5,5,5,"The presentation was about how to become a better programmer. The presenter gave a lot of suggestions on detail things that we already know but wouldn't do. In order to become a better programmer, as the presenter said, we have to get out of our comfort zone, practice more and pay attention to the details","In the presentation, the presenter inserted some funny images and statements in between the suggestions, some funny things that only programmer knows. That is a good technique to get the audience attentions and not let them get bored.","I would say to speak a little louder, because the room is big, and i sit close to the back, i need to pay more attention than usual to hear and understand what the presenter said. Everything else is good.",Nice topic
